longitude,latitude,total_field_intensity_nT
84.0,88.0,40512.87
85.0,88.0,40515.47
86.0,88.0,40518.03
87.0,88.0,40520.55
88.0,88.0,40523.03
89.0,88.0,40525.47
90.0,88.0,40527.87
91.0,88.0,40530.22
92.0,88.0,40532.54
93.0,88.0,40534.81
94.0,88.0,40537.04
95.0,88.0,40539.22
96.0,88.0,40541.36
97.0,88.0,40543.45
98.0,88.0,40545.49
99.0,88.0,40547.49
100.0,88.0,40549.44
101.0,88.0,40551.34
102.0,88.0,40553.19
103.0,88.0,40554.99
104.0,88.0,40556.74
105.0,88.0,40558.44
106.0,88.0,40560.09
107.0,88.0,40561.69
108.0,88.0,40563.24
109.0,88.0,40564.74
110.0,88.0,40566.18
111.0,88.0,40567.57
112.0,88.0,40568.91
113.0,88.0,40570.2
114.0,88.0,40571.43
115.0,88.0,40572.61
116.0,88.0,40573.74
117.0,88.0,40574.81
118.0,88.0,40575.83
119.0,88.0,40576.79
120.0,88.0,40577.71
121.0,88.0,40578.57
122.0,88.0,40579.37
123.0,88.0,40580.12
124.0,88.0,40580.82
125.0,88.0,40581.47
